ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,1,0,1,z,0,1,2,aud,B,63,1,0B,1B,0,1,b,2.55251940000016,1,0,0,0,0B,1B,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.109341227132271,0.498669943316057,-0.5,-0.484427730345741,-0.5,0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,2,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,1.74711059999936,0,1,1,1,0A,1A,A10,2.83321334405622,0.5,0.5,0.5,0.5,0.0155722696542589,0.500732476601226,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.278811150102881,0.499886649011259,0.5,0.484427730345741,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,3,2,1,b,1,0,1,aud,C,9,1,2C,1C,1,0,b,1.51832549999926,1,0,1,1,2C,1C,C21,2.89037175789616,0.984427730345741,0.499267523398774,0.5,0.5,0.0155722696542589,0.500732476601226,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.359760618124557,0.499179827107814,0.5,0.484427730345741,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,4,0,1,b,1,0,0,aud,A,63,1,0A,1A,1,0,z,1.06943179999871,0,1,0,0,1A,0A,A01,2.94443897916644,0.984427730345741,0.499267523398774,0.5,0.5,0.0155722696542589,0.500732476601226,0.5,0.5,0.5,0.499267523398774,0.984427730345741,0.5,0.5,0.5,0.5,0.5,0.33650274349718,0.66349725650282,0.499267523398774,0.984427730345741,0.191127774586723,0.401555253407605,-0.499267523398774,-0.483718066390815,-0.0155722696542588,2.28126462994421e-05,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,5,1,3,z,0,1,3,aud,D,27,1,1D,3D,0,1,z,2.33847559999958,0,1,1,1,3D,1D,D13,2.99573227355399,0.984450542992041,0.0155494570079595,0.5,0.5,0.0155722696542589,0.500732476601226,0.5,0.5,0.5,0.499267523398774,0.984427730345741,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.140467001841869,0.49969462382593,0.5,0.484427730345741,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,6,1,0,b,1,0,2,aud,B,63,1,1B,0B,1,0,b,2.2439775999992,1,0,1,1,1B,0B,B10,3.04452243772342,0.984450542992041,0.0155494570079595,0.5,0.5,0.0155722696542589,0.500732476601226,0.5,0.5,0.5,0.499267523398774,0.984427730345741,0.5,0.5,0.499267523398774,0.5,0.984427730345741,0.969838995734211,0.0301610042657892,0.500732476601226,0.0155722696542589,0.226395350518533,0.759127888515613,0.499267523398774,0.483718066390815,0.0155722696542588,-2.28126462994421e-05,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,7,3,2,z,0,1,1,aud,C,63,1,3C,2C,0,1,z,2.33604809999997,0,1,1,1,2C,3C,C32,3.09104245335832,0.984450542992041,0.0155494570079595,0.5,0.5,0.0155494570079595,0.98445054299204,0.5,0.5,0.5,0.499267523398774,0.984427730345741,0.5,0.5,0.499267523398774,0.5,0.984427730345741,0.66316986015645,0.33683013984355,0.984427730345741,0.5,0.16760246255243,0.598722549008911,0.0155722696542588,0.0150872784898889,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,8,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,b,2.55405000000064,1,0,1,1,0A,2A,A02,3.13549421592915,0.984450542992041,0.0155494570079595,0.5,0.5,0.0155494570079595,0.98445054299204,0.5,0.5,0.5,0.499267523398774,0.99951500883563,0.499267523398774,0.5,0.499267523398774,0.5,0.984427730345741,0.663175036473626,0.336824963526374,0.984450542992041,0.5,0.129504098900433,0.598208975930206,0.0155494570079594,0.0150651763329489,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,9,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,z,1.73897949999991,0,1,1,1,3D,2D,D23,3.17805383034795,0.99951571932499,0.0155494570079595,0.499267523398774,0.5,0.0155494570079595,0.98445054299204,0.5,0.5,0.5,0.499267523398774,0.99951500883563,0.499267523398774,0.5,0.499267523398774,0.5,0.984427730345741,0.66316986015645,0.33683013984355,0.984427730345741,0.5,0.338252808034743,0.598298348972444,0.0155722696542588,0.0150872784898889,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
CBC_1027,CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv,1,10,1,3,b,1,0,2,aud,B,27,1,1B,3B,1,0,b,2.14430709999942,1,0,1,1,1B,3B,B13,3.2188758248682,0.99951571932499,0.0155494570079595,0.499267523398774,0.5,0.0155494570079595,0.98445054299204,0.5,0.5,0.5,0.499267523398774,0.99951500883563,0.499267523398774,0.5,0.499267523398774,0.499267523398774,0.99951500883563,0.663175036473626,0.336824963526374,0.98445054299204,0.5,0.209993141397986,0.598305779391615,0.0155494570079595,0.015065176332949,0.5,-0.000732476601225662,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.968855460691482,0.00146495320245132,0.908661615560171,0.593884488423031,2.06190017927089,0.5,66.2706453062894
