ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,1,1,0,b,1,0,1,tac,B,63,1,1B,0B,1,0,z,2.51443319999998,0,1,0,0,0B,1B,B10,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.16126918020402,0.499794863259727,-0.5,-0.0110270406546926,-0.5,0.035776810452165,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,2,0,1,b,1,0,0,tac,A,63,1,0A,1A,1,0,z,2.41368379999949,0,1,0,0,1A,0A,A01,2.83321334405622,0.5,0.5,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.181451034952791,0.499648683237239,-0.5,-0.0110270406546926,-0.5,0.035776810452165,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,3,1,2,z,0,1,3,tac,C,9,1,1C,2C,0,1,b,2.45216210000035,1,0,0,0,1C,2C,C12,2.89037175789616,0.535776810452165,0.488972959345307,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.173581458024103,0.500050036910736,-0.5,-0.0110270406546926,-0.5,0.035776810452165,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,4,1,0,z,0,1,0,tac,A,63,1,1A,0A,0,1,z,2.44689970000036,0,1,1,1,0A,1A,A10,2.94443897916644,0.535776810452165,0.488972959345307,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.5,0.5,0.546730108688123,0.453269891311877,0.535776810452165,0.488972959345307,0.174847471897224,0.500596987276511,0.464223189547835,0.0102380159679901,0.488972959345307,-0.0349877857654625,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,5,3,1,b,1,0,2,tac,D,27,1,3D,1D,1,0,b,2.7392006,1,0,1,1,3D,1D,D31,2.99573227355399,0.546014826420155,0.453985173579845,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.124099752088357,0.500672909011006,0.5,0.0110270406546926,0.5,-0.035776810452165,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,6,0,1,z,0,1,1,tac,B,63,1,0B,1B,0,1,b,2.38905820000036,1,0,0,0,0B,1B,B01,3.04452243772342,0.546014826420155,0.453985173579845,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.464223189547835,0.5,0.511027040654693,0.453269891311877,0.546730108688123,0.488972959345307,0.535776810452165,0.186558322520509,0.499084641596628,-0.488972959345307,-0.0107838494034921,-0.464223189547835,0.0332168501199047,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,7,2,3,b,1,0,3,tac,C,63,1,2C,3C,1,0,z,2.32406830000036,0,1,0,0,3C,2C,C23,3.09104245335832,0.546014826420155,0.453985173579845,0.5,0.5,0.478189109941815,0.56899366057207,0.5,0.5,0.5,0.488972959345307,0.535776810452165,0.5,0.5,0.464223189547835,0.5,0.511027040654693,0.464223189547835,0.535776810452165,0.5,0.535776810452165,0.201411331097822,0.499274616747044,-0.5,-0.0110270406546926,-0.464223189547835,0.0332168501199047,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,8,2,0,z,0,1,0,tac,A,27,1,2A,0A,0,1,z,1.96673960000044,0,1,1,1,0A,2A,A20,3.13549421592915,0.546014826420155,0.453985173579845,0.5,0.5,0.478189109941815,0.56899366057207,0.5,0.5,0.5,0.488972959345307,0.56899366057207,0.488972959345307,0.5,0.464223189547835,0.5,0.511027040654693,0.546014826420155,0.453985173579845,0.546014826420155,0.5,0.306521243684913,0.500759984657071,0.453985173579845,0.0100122259313853,0.5,-0.035776810452165,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,9,3,2,b,1,0,2,tac,D,63,1,3D,2D,1,0,z,2.86256230000072,0,1,0,0,2D,3D,D32,3.17805383034795,0.55602705235154,0.453985173579845,0.464223189547835,0.5,0.478189109941815,0.56899366057207,0.5,0.5,0.5,0.488972959345307,0.56899366057207,0.488972959345307,0.5,0.464223189547835,0.5,0.511027040654693,0.488972959345307,0.511027040654693,0.5,0.511027040654693,0.107373875864657,0.500668255593113,-0.5,-0.0110270406546926,-0.488972959345307,0.0349877857654625,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
CBC_1072,CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv,1,10,3,1,z,0,1,1,tac,B,27,1,3B,1B,0,1,b,1.99888550000014,1,0,0,0,3B,1B,B31,3.2188758248682,0.55602705235154,0.453985173579845,0.464223189547835,0.5,0.478189109941815,0.56899366057207,0.5,0.5,0.5,0.488972959345307,0.56899366057207,0.488972959345307,0.5,0.464223189547835,0.488972959345307,0.546014826420155,0.43100633942793,0.56899366057207,0.5,0.56899366057207,0.294289513397249,0.498943069807432,-0.5,-0.0110270406546926,-0.43100633942793,0.0308400642187891,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0220540813093852,0.07155362090433,1.2083573831292,0.0133319381942991,2.05068948461178,0.5,69.2472893040996
