ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,1,2,2,aud,0.5,1,z,C,2C,1,b,2.46943780000038,0,0,0,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.11803092306655,0.500112586458955,-0.5,0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,2,1,0,aud,0.5,1,z,B,1B,1,b,2.11453039999924,0,0,0,2.30258509299405,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.853204957279696,0.5,0.170786234323369,0.499869805953877,-0.5,0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,3,2,1,aud,0.36,1,z,A,2A,0,[],NaN,NaN,NaN,NaN,2.39789527279837,0.5,0.5,0.5,0.5,0.853204957279696,0.5,0.5,0.5,0.853204957279696,0.5,NaN,NaN,0,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,4,0,0,aud,0.36,1,z,B,0B,0,z,1.80268129999968,1,0,0,2.484906649788,0.5,0.5,0.5,0.5,0.853204957279696,0.5,0.5,0.5,0.853204957279696,0.5,0.236231787562284,0.49987288429005,-0.5,-0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,5,2,2,aud,0.5,1,z,C,2C,1,z,2.31001169999945,1,1,1,1.87180217690159,0.5,0.5,0.5,0.146795042720303,0.853204957279696,0.5,0.5,0.5,0.853204957279696,0.853204957279696,0.15730246031842,0.565779348673428,0.146795042720304,0.103697473585792,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,6,1,1,aud,0.14,1,z,A,1A,0,z,2.3901821999998,1,0,0,2.63905732961526,0.5,0.5,0.5,0.146795042720303,0.853204957279696,0.5,0.5,0.5,0.956902430865489,0.5,0.127867797096545,0.498827222918256,-0.5,-0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,7,0,2,aud,0.14,1,z,C,0C,0,b,1.35442090000015,0,1,1,2.70805020110221,0.5,0.146795042720303,0.5,0.146795042720303,0.853204957279696,0.5,0.5,0.5,0.956902430865489,0.5,0.365066188056842,0.500099449100763,0.5,-0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,8,1,0,aud,0.5,1,z,B,1B,1,z,1.41873729999952,1,1,1,2.07944154167984,0.5,0.146795042720303,0.5,0.146795042720303,0.853204957279696,0.5,0.146795042720303,0.5,0.956902430865489,0.853204957279696,0.394422498206096,0.567253784513463,0.146795042720304,0.103697473585792,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,9,2,2,aud,0.5,1,z,C,2C,1,z,1.49090590000014,1,1,1,1.73460105538811,0.5,0.146795042720303,0.5,0.146795042720303,0.956902430865489,0.5,0.146795042720303,0.5,0.956902430865489,0.956902430865489,0.382884437561801,0.587248409299056,0.0430975691345115,0.0304445501300278,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,10,0,0,aud,0.36,1,z,B,0B,0,b,2.25665599999957,0,1,1,2.19722457733622,0.5,0.146795042720303,0.5,0.146795042720303,0.956902430865489,0.5,0.146795042720303,0.5,0.987346980995516,0.146795042720303,0.166748379130255,0.567130107302954,0.146795042720304,-0.103697473585792,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
